Year,Code,Category,Value,Population,Suicide Deaths,Rate Per 100000
2013,0,Race_Ethnicity_Group,Total,19651127,1637,8.3
2013,0,Gender_Group,Total,19651127,1637,8.3
2013,0,Age_Group,Total,19651127,1637,8.3
2013,1,Age_Group,00-09,2323064,2,0.1
2013,1,Race_Ethnicity_Group,White Non Hispanic,11370913,1238,10.9
2013,1,County_Group,New York State,19651127,1637,8.3
2013,1,Gender_Group,Male,9536193,1239,13.0
2013,2,Gender_Group,Female,10114934,398,3.9
2013,2,County_Group,New York City,8405837,508,6.0
2013,2,Race_Ethnicity_Group,Black Non Hispanic,2968187,119,4.0
2013,2,Age_Group,10-19,2458767,72,2.9
2013,3,Race_Ethnicity_Group,Other Non Hispanic,1705241,98,5.7
2013,3,Age_Group,20-24,1440691,110,7.6
2013,3,County_Group,Bronx,1418733,79,5.6
2013,4,Age_Group,25-34,2803717,252,9.0
2013,4,County_Group,Kings,2592149,123,4.7
2013,5,County_Group,New York,1626159,136,8.4
2013,5,Race_Ethnicity_Group,Hispanic,3606786,158,4.4
2013,5,Age_Group,35-44,2519967,244,9.7
2013,6,Age_Group,45-54,2814951,357,12.7
2013,6,County_Group,Queens,2296175,141,6.1
2013,7,County_Group,Richmond,472621,29,6.1
2013,7,Age_Group,55-64,2457489,304,12.4
2013,8,County_Group,Rest of State,11245290,1129,10.0
2013,8,Age_Group,65-74,1544122,160,10.4
2013,9,County_Group,Albany,306945,33,10.8
2013,9,Age_Group,75-84,864069,94,10.9
2013,10,Age_Group,85+,424290,40,9.4
2013,10,County_Group,Allegany,48109,10,20.8
2013,11,County_Group,Broome,197534,22,11.1
2013,12,County_Group,Cattaraugus,78892,12,15.2
2013,13,County_Group,Cayuga,79477,11,13.8
2013,14,County_Group,Chautauqua,133080,15,11.3
2013,15,County_Group,Chemung,88506,9,10.2
2013,16,County_Group,Chenango,49503,6,12.1
2013,17,County_Group,Clinton,81591,12,14.7
2013,18,County_Group,Columbia,62243,9,14.5
2013,19,County_Group,Cortland,48976,4,8.2
2013,20,County_Group,Delaware,46722,9,19.3
2013,21,County_Group,Dutchess,296916,40,13.5
2013,22,County_Group,Erie,919866,86,9.3
2013,23,County_Group,Essex,38762,5,12.9
2013,24,County_Group,Franklin,51688,8,15.5
2013,25,County_Group,Fulton,54586,6,11.0
2013,26,County_Group,Genesee,59454,4,6.7
2013,27,County_Group,Greene,48455,7,14.4
2013,28,County_Group,Hamilton,4773,0,0.0
2013,29,County_Group,Herkimer,64181,9,14.0
2013,30,County_Group,Jefferson,119504,14,11.7
2013,31,County_Group,Lewis,27149,4,14.7
2013,32,County_Group,Livingston,64705,11,17.0
2013,33,County_Group,Madison,72382,10,13.8
2013,34,County_Group,Monroe,749606,61,8.1
2013,35,County_Group,Montgomery,49897,10,20.0
2013,36,County_Group,Nassau,1352146,100,7.4
2013,37,County_Group,Niagara,214249,33,15.4
2013,38,County_Group,Oneida,233585,34,14.6
2013,39,County_Group,Onondaga,468387,56,12.0
2013,40,County_Group,Ontario,109103,14,12.8
2013,41,County_Group,Orange,375592,28,7.5
2013,42,County_Group,Orleans,42235,2,4.7
2013,43,County_Group,Oswego,121165,17,14.0
2013,44,County_Group,Otsego,61683,9,14.6
2013,45,County_Group,Putnam,99645,15,15.1
2013,46,County_Group,Rensselaer,159918,10,6.3
2013,47,County_Group,Rockland,320903,18,5.6
2013,48,County_Group,St Lawrence,111963,8,7.1
2013,49,County_Group,Saratoga,223865,32,14.3
2013,50,County_Group,Schenectady,155333,16,10.3
2013,51,County_Group,Schoharie,31844,4,12.6
2013,52,County_Group,Schuyler,18460,3,16.3
2013,53,County_Group,Seneca,35409,4,11.3
2013,54,County_Group,Steuben,98650,7,7.1
2013,55,County_Group,Suffolk,1499738,141,9.4
2013,56,County_Group,Sullivan,76665,12,15.7
2013,57,County_Group,Tioga,50243,3,6.0
2013,58,County_Group,Tompkins,103617,19,18.3
2013,59,County_Group,Ulster,180998,17,9.4
2013,60,County_Group,Warren,65337,7,10.7
2013,61,County_Group,Washington,63093,9,14.3
2013,62,County_Group,Wayne,92473,11,11.9
2013,63,County_Group,Westchester,968802,65,6.7
2013,64,County_Group,Wyoming,41531,8,19.3
2013,65,County_Group,Yates,25156,0,0.0
2012,0,Age_Group,Total,19570261,1657,8.5
2012,0,Race_Ethnicity_Group,Total,19570261,1657,8.5
2012,0,Gender_Group,Total,19570261,1657,8.5
2012,1,Age_Group,00-09,2321651,0,0.0
2012,1,Gender_Group,Male,9489217,1268,13.4
2012,1,Race_Ethnicity_Group,White Non Hispanic,11404723,1266,11.1
2012,1,County_Group,New York State,19570261,1657,8.5
2012,2,Race_Ethnicity_Group,Black Non Hispanic,2954298,105,3.6
2012,2,Age_Group,10-19,2494939,90,3.6
2012,2,County_Group,New York City,8336697,515,6.2
2012,2,Gender_Group,Female,10081044,389,3.9
2012,3,Race_Ethnicity_Group,Other Non Hispanic,1658459,99,6.0
2012,3,Age_Group,20-24,1444210,121,8.4
2012,3,County_Group,Bronx,1408473,77,5.5
2012,4,County_Group,Kings,2565635,122,4.8
2012,4,Age_Group,25-34,2757086,245,8.9
2012,5,County_Group,New York,1619090,136,8.4
2012,5,Race_Ethnicity_Group,Hispanic,3552781,178,5.0
2012,5,Age_Group,35-44,2539594,249,9.8
2012,6,Age_Group,45-54,2840330,389,13.7
2012,6,County_Group,Queens,2272771,147,6.5
2012,7,County_Group,Richmond,470728,33,7.0
2012,7,Age_Group,55-64,2414879,293,12.1
2012,8,Age_Group,65-74,1481057,148,10.0
2012,8,County_Group,Rest of State,11233564,1142,10.2
2012,9,County_Group,Albany,305455,32,10.5
2012,9,Age_Group,75-84,862130,90,10.4
2012,10,County_Group,Allegany,48357,6,12.4
2012,10,Age_Group,85+,414385,32,7.7
2012,11,County_Group,Broome,198060,22,11.1
2012,12,County_Group,Cattaraugus,79458,11,13.8
2012,13,County_Group,Cayuga,79552,7,8.8
2012,14,County_Group,Chautauqua,133539,20,15.0
2012,15,County_Group,Chemung,88911,5,5.6
2012,16,County_Group,Chenango,49933,6,12.0
2012,17,County_Group,Clinton,81654,16,19.6
2012,18,County_Group,Columbia,62499,6,9.6
2012,19,County_Group,Cortland,49474,6,12.1
2012,20,County_Group,Delaware,47276,11,23.3
2012,21,County_Group,Dutchess,297322,15,5.0
2012,22,County_Group,Erie,919086,81,8.8
2012,23,County_Group,Essex,38961,10,25.7
2012,24,County_Group,Franklin,51795,7,13.5
2012,25,County_Group,Fulton,54925,6,10.9
2012,26,County_Group,Genesee,59977,8,13.3
2012,27,County_Group,Greene,48673,3,6.2
2012,28,County_Group,Hamilton,4778,3,62.8
2012,29,County_Group,Herkimer,64508,4,6.2
2012,30,County_Group,Jefferson,120262,25,20.8
2012,31,County_Group,Lewis,27224,6,22.0
2012,32,County_Group,Livingston,64810,8,12.3
2012,33,County_Group,Madison,72382,10,13.8
2012,34,County_Group,Monroe,747813,67,9.0
2012,35,County_Group,Montgomery,49941,6,12.0
2012,36,County_Group,Nassau,1349233,89,6.6
2012,37,County_Group,Niagara,215124,36,16.7
2012,38,County_Group,Oneida,233556,29,12.4
2012,39,County_Group,Onondaga,466852,55,11.8
2012,40,County_Group,Ontario,108519,11,10.1
2012,41,County_Group,Orange,374512,26,6.9
2012,42,County_Group,Orleans,42836,6,14.0
2012,43,County_Group,Oswego,121700,20,16.4
2012,44,County_Group,Otsego,61709,6,9.7
2012,45,County_Group,Putnam,99607,12,12.0
2012,46,County_Group,Rensselaer,159835,21,13.1
2012,47,County_Group,Rockland,317757,23,7.2
2012,48,County_Group,St Lawrence,112232,10,8.9
2012,49,County_Group,Saratoga,222133,34,15.3
2012,50,County_Group,Schenectady,155124,18,11.6
2012,51,County_Group,Schoharie,32099,5,15.6
2012,52,County_Group,Schuyler,18514,0,0.0
2012,53,County_Group,Seneca,35305,5,14.2
2012,54,County_Group,Steuben,99063,13,13.1
2012,55,County_Group,Suffolk,1499273,149,9.9
2012,56,County_Group,Sullivan,76793,13,16.9
2012,57,County_Group,Tioga,50478,7,13.9
2012,58,County_Group,Tompkins,102554,9,8.8
2012,59,County_Group,Ulster,181791,19,10.5
2012,60,County_Group,Warren,65538,12,18.3
2012,61,County_Group,Washington,62934,9,14.3
2012,62,County_Group,Wayne,92962,12,12.9
2012,63,County_Group,Westchester,961670,76,7.9
2012,64,County_Group,Wyoming,41892,7,16.7
2012,65,County_Group,Yates,25344,3,11.8
2011,0,Race_Ethnicity_Group,Total,19465197,1625,8.3
2011,0,Gender_Group,Total,19465197,1625,8.3
2011,0,Age_Group,Total,19465197,1625,8.3
2011,1,County_Group,New York State,19465197,1625,8.3
2011,1,Race_Ethnicity_Group,White Non Hispanic,11423050,1237,10.8
2011,1,Gender_Group,Male,9431804,1287,13.6
2011,1,Age_Group,00-09,2318399,0,0.0
2011,2,Race_Ethnicity_Group,Black Non Hispanic,2938083,122,4.2
2011,2,Gender_Group,Female,10033393,338,3.4
