,Year,Code,Category,Value,Population,Rate,Deaths
0,2013,0,Race_Ethnicity_Group,Total,19651127,8.3,1637
1,2013,0,Gender_Group,Total,19651127,8.3,1637
2,2013,0,Age_Group,Total,19651127,8.3,1637
3,2013,1,Age_Group,00-09,2323064,0.1,2
4,2013,1,Race_Ethnicity_Group,White Non Hispanic,11370913,10.9,1238
5,2013,1,County_Group,New York State,19651127,8.3,1637
6,2013,1,Gender_Group,Male,9536193,13.0,1239
7,2013,2,Gender_Group,Female,10114934,3.9,398
8,2013,2,County_Group,New York City,8405837,6.0,508
9,2013,2,Race_Ethnicity_Group,Black Non Hispanic,2968187,4.0,119
10,2013,2,Age_Group,10-19,2458767,2.9,72
11,2013,3,Race_Ethnicity_Group,Other Non Hispanic,1705241,5.7,98
12,2013,3,Age_Group,20-24,1440691,7.6,110
13,2013,3,County_Group,Bronx,1418733,5.6,79
14,2013,4,Age_Group,25-34,2803717,9.0,252
15,2013,4,County_Group,Kings,2592149,4.7,123
16,2013,5,County_Group,New York,1626159,8.4,136
17,2013,5,Race_Ethnicity_Group,Hispanic,3606786,4.4,158
18,2013,5,Age_Group,35-44,2519967,9.7,244
19,2013,6,Age_Group,45-54,2814951,12.7,357
20,2013,6,County_Group,Queens,2296175,6.1,141
21,2013,7,County_Group,Richmond,472621,6.1,29
22,2013,7,Age_Group,55-64,2457489,12.4,304
23,2013,8,County_Group,Rest of State,11245290,10.0,1129
24,2013,8,Age_Group,65-74,1544122,10.4,160
25,2013,9,County_Group,Albany,306945,10.8,33
26,2013,9,Age_Group,75-84,864069,10.9,94
27,2013,10,Age_Group,85+,424290,9.4,40
28,2013,10,County_Group,Allegany,48109,20.8,10
29,2013,11,County_Group,Broome,197534,11.1,22
30,2013,12,County_Group,Cattaraugus,78892,15.2,12
31,2013,13,County_Group,Cayuga,79477,13.8,11
32,2013,14,County_Group,Chautauqua,133080,11.3,15
33,2013,15,County_Group,Chemung,88506,10.2,9
34,2013,16,County_Group,Chenango,49503,12.1,6
35,2013,17,County_Group,Clinton,81591,14.7,12
36,2013,18,County_Group,Columbia,62243,14.5,9
37,2013,19,County_Group,Cortland,48976,8.2,4
38,2013,20,County_Group,Delaware,46722,19.3,9
39,2013,21,County_Group,Dutchess,296916,13.5,40
40,2013,22,County_Group,Erie,919866,9.3,86
41,2013,23,County_Group,Essex,38762,12.9,5
42,2013,24,County_Group,Franklin,51688,15.5,8
43,2013,25,County_Group,Fulton,54586,11.0,6
44,2013,26,County_Group,Genesee,59454,6.7,4
45,2013,27,County_Group,Greene,48455,14.4,7
46,2013,28,County_Group,Hamilton,4773,0.0,0
47,2013,29,County_Group,Herkimer,64181,14.0,9
48,2013,30,County_Group,Jefferson,119504,11.7,14
49,2013,31,County_Group,Lewis,27149,14.7,4
50,2013,32,County_Group,Livingston,64705,17.0,11
51,2013,33,County_Group,Madison,72382,13.8,10
52,2013,34,County_Group,Monroe,749606,8.1,61
53,2013,35,County_Group,Montgomery,49897,20.0,10
54,2013,36,County_Group,Nassau,1352146,7.4,100
55,2013,37,County_Group,Niagara,214249,15.4,33
56,2013,38,County_Group,Oneida,233585,14.6,34
57,2013,39,County_Group,Onondaga,468387,12.0,56
58,2013,40,County_Group,Ontario,109103,12.8,14
59,2013,41,County_Group,Orange,375592,7.5,28
60,2013,42,County_Group,Orleans,42235,4.7,2
61,2013,43,County_Group,Oswego,121165,14.0,17
62,2013,44,County_Group,Otsego,61683,14.6,9
63,2013,45,County_Group,Putnam,99645,15.1,15
64,2013,46,County_Group,Rensselaer,159918,6.3,10
65,2013,47,County_Group,Rockland,320903,5.6,18
66,2013,48,County_Group,St Lawrence,111963,7.1,8
67,2013,49,County_Group,Saratoga,223865,14.3,32
68,2013,50,County_Group,Schenectady,155333,10.3,16
69,2013,51,County_Group,Schoharie,31844,12.6,4
70,2013,52,County_Group,Schuyler,18460,16.3,3
71,2013,53,County_Group,Seneca,35409,11.3,4
72,2013,54,County_Group,Steuben,98650,7.1,7
73,2013,55,County_Group,Suffolk,1499738,9.4,141
74,2013,56,County_Group,Sullivan,76665,15.7,12
75,2013,57,County_Group,Tioga,50243,6.0,3
76,2013,58,County_Group,Tompkins,103617,18.3,19
77,2013,59,County_Group,Ulster,180998,9.4,17
78,2013,60,County_Group,Warren,65337,10.7,7
79,2013,61,County_Group,Washington,63093,14.3,9
80,2013,62,County_Group,Wayne,92473,11.9,11
81,2013,63,County_Group,Westchester,968802,6.7,65
82,2013,64,County_Group,Wyoming,41531,19.3,8
83,2013,65,County_Group,Yates,25156,0.0,0
84,2012,0,Age_Group,Total,19570261,8.5,1657
85,2012,0,Race_Ethnicity_Group,Total,19570261,8.5,1657
86,2012,0,Gender_Group,Total,19570261,8.5,1657
87,2012,1,Age_Group,00-09,2321651,0.0,0
88,2012,1,Gender_Group,Male,9489217,13.4,1268
89,2012,1,Race_Ethnicity_Group,White Non Hispanic,11404723,11.1,1266
90,2012,1,County_Group,New York State,19570261,8.5,1657
91,2012,2,Race_Ethnicity_Group,Black Non Hispanic,2954298,3.6,105
92,2012,2,Age_Group,10-19,2494939,3.6,90
93,2012,2,County_Group,New York City,8336697,6.2,515
94,2012,2,Gender_Group,Female,10081044,3.9,389
95,2012,3,Race_Ethnicity_Group,Other Non Hispanic,1658459,6.0,99
96,2012,3,Age_Group,20-24,1444210,8.4,121
97,2012,3,County_Group,Bronx,1408473,5.5,77
98,2012,4,County_Group,Kings,2565635,4.8,122
99,2012,4,Age_Group,25-34,2757086,8.9,245
100,2012,5,County_Group,New York,1619090,8.4,136
101,2012,5,Race_Ethnicity_Group,Hispanic,3552781,5.0,178
102,2012,5,Age_Group,35-44,2539594,9.8,249
103,2012,6,Age_Group,45-54,2840330,13.7,389
104,2012,6,County_Group,Queens,2272771,6.5,147
105,2012,7,County_Group,Richmond,470728,7.0,33
106,2012,7,Age_Group,55-64,2414879,12.1,293
107,2012,8,Age_Group,65-74,1481057,10.0,148
108,2012,8,County_Group,Rest of State,11233564,10.2,1142
109,2012,9,County_Group,Albany,305455,10.5,32
110,2012,9,Age_Group,75-84,862130,10.4,90
111,2012,10,County_Group,Allegany,48357,12.4,6
112,2012,10,Age_Group,85+,414385,7.7,32
113,2012,11,County_Group,Broome,198060,11.1,22
114,2012,12,County_Group,Cattaraugus,79458,13.8,11
115,2012,13,County_Group,Cayuga,79552,8.8,7
